City Id,City Name,Temprature,Cloudiness,Wind,Latitude,Longitude,Humidity
2126199,Cherskiy,55.89,100,3.02,68.75,161.3,44
3720811,Mirebalais,79.14,93,0.96,18.83,-72.11,81
1636022,Martapura,80.6,23,3.36,-3.42,114.85,83
3533826,Yaguajay,79.72,54,9.33,22.33,-79.24,87
5983720,Iqaluit,44.29,90,16.11,63.75,-68.51,93
4154205,Edgewater,76.32,90,4.7,28.99,-80.9,94
2629833,Husavik,44.6,20,2.89,66.04,-17.34,93
2035002,Shangzhi,77.58,4,7.36,45.22,127.97,66
701802,Markova,53.29,34,1.3,48.68,24.41,93
3840300,Presidencia Roque Sáenz Peña,54.95,0,5.17,-26.79,-60.44,61
2146219,Hervey Bay,71.71,0,10.29,-25.3,152.85,45
2032201,Bulgan,56.57,99,6.87,48.81,103.53,85
3470137,Belmonte,73.4,40,3.36,-15.86,-38.88,88
102527,Sakakah,80.6,0,5.82,29.97,40.21,32
219414,Basoko,72.3,100,1.3,1.24,23.62,94
3389822,Salinópolis,80.29,52,12.73,-0.61,-47.36,79
921900,Dzaoudzi,75.2,75,10.29,-12.79,45.27,83
5969025,Haines Junction,51.31,100,2.73,60.75,-137.51,85
4033077,Vaitape,78.98,100,14.83,-16.52,-151.75,78
5847411,Kahului,81.99,40,25.28,20.89,-156.47,49
5870133,Nome,60.06,1,6.93,64.5,-165.41,76
110690,Faya,68.9,97,3.65,18.39,42.45,64
2441447,Maïné Soroa,80.71,27,12.86,13.21,12.02,70
3448903,São João da Barra,73.33,25,8.88,-21.64,-41.05,87
779261,Kjøllefjord,47.95,42,20.71,70.95,27.35,73
514796,Orlovskiy,53.08,0,4.23,46.87,42.06,65
3919813,Colomi,64.4,40,8.05,-17.35,-65.87,36
3516912,Santiago Tuxtla,75.11,66,4.92,18.47,-95.3,88
2013727,Vanavara,56.14,0,7.63,60.34,102.28,50
2208248,Kaitangata,46.99,73,4.0,-46.28,169.85,82
2935022,Dresden,64.6,12,2.24,51.05,13.74,88
1242110,Kalmunai,80.6,86,2.55,7.42,81.82,71
2338660,Yaan,72.27,14,3.98,7.38,8.57,91
1816336,Binzhou,86.0,100,6.62,37.37,118.02,78
5895424,Bay Roberts,49.39,0,1.99,47.6,-53.26,89
706757,Soledar,52.66,52,1.72,48.68,38.09,65
3860259,Córdoba,45.5,0,9.17,-31.41,-64.18,44
1726449,Basco,84.11,100,13.11,20.45,121.97,80
4809537,Huntington,69.75,40,8.05,38.42,-82.45,78
1274553,Baghmara,81.39,98,10.38,23.8,86.21,86
1215502,Banda Aceh,84.02,23,4.85,5.56,95.32,71
1798490,Pulandian,76.96,90,2.24,39.4,121.97,100
2129376,Kushiro,71.6,40,9.17,42.98,144.37,83
3869716,Tocopilla,56.73,9,5.01,-22.09,-70.2,65
2137748,Voh,71.71,99,3.94,-20.97,164.7,80
3385077,Conde,73.4,40,3.36,-7.26,-34.91,94
117656,Salmās,64.4,40,4.7,38.2,44.77,82
6067472,Marystown,54.68,0,2.71,47.17,-55.15,75
1806840,Huilong,93.0,0,4.0,31.81,121.66,63
4004293,Ixtapa,86.0,40,2.24,20.7,-105.2,74
3708432,Jaqué,79.05,100,4.74,7.52,-78.17,84
3943957,Chilca,60.8,90,10.29,-12.52,-76.74,82
2134814,Sola,78.94,98,23.69,-13.88,167.55,83
2128975,Nemuro,75.2,75,5.82,43.32,145.57,83
138025,Dāmghān,68.29,1,8.08,36.17,54.35,52
1254046,Tura,78.67,76,6.78,25.52,90.22,86
5955902,Fort Nelson,66.2,75,6.93,58.81,-122.7,55
5380437,Pacific Grove,80.83,1,3.36,36.62,-121.92,30
3408368,Acaraú,77.31,20,16.91,-2.89,-40.12,80
5975004,High Level,64.4,75,3.36,58.52,-117.14,63
1714733,Dingle,84.36,69,4.97,11.0,122.67,76
1497543,Nizhnevartovsk,50.0,90,6.71,60.93,76.55,100
7671223,Kloulklubed,80.6,75,10.29,7.04,134.26,88
2501152,Constantine,80.6,40,5.82,36.37,6.61,32
2012530,Zhigansk,49.95,0,21.94,66.77,123.37,56
2014078,Urusha,54.68,98,4.23,54.05,122.9,80
2112444,Kamaishi,84.2,75,4.7,39.27,141.88,62
4031637,Lavrentiya,59.59,0,6.71,65.58,-171.0,50
3980125,Villa Unión,87.33,75,6.93,23.2,-106.23,70
3860443,Comodoro Rivadavia,50.0,40,26.4,-45.87,-67.5,43
2514891,Lorca,67.01,92,1.99,37.67,-1.7,42
6067747,Matagami,68.0,0,14.99,49.75,-77.63,64
478050,Ust'-Kulom,46.72,43,3.51,61.69,53.69,84
6111862,Port Hardy,71.6,40,9.17,50.7,-127.42,68
2020121,Mayya,55.4,40,6.71,61.73,130.28,50
5954718,Flin Flon,57.33,77,9.1,54.77,-101.86,63
1244926,Hambantota,77.0,40,5.82,6.12,81.12,100
3465373,Correntina,70.21,0,2.71,-13.34,-44.64,47
2093967,Kimbe,84.74,34,3.06,-5.55,150.14,75
6145890,Shelburne,70.84,1,5.82,44.08,-80.2,78
